date,acthor_energy_kwh,pv_energy_total_kwh,house_energy_kwh,battery_charge_total_kwh,battery_discharge_total_kwh,grid_import_total_kwh,grid_export_total_kwh,rollup_complete
2026-06-30,,44.8,18.4,10.7,3.8,0.0,19.5,0
2026-07-02,0.43,61.1,24.87,10.1,3.8,0.0,29.5,1
2026-07-03,16.19,55.5,11.31,5.6,4.6,0.0,27.0,1
2026-07-04,8.73,70.4,16.57,6.2,4.6,0.0,43.5,1
2026-07-05,6.73,34.0,12.57,6.5,5.4,0.0,13.6,1
2026-07-06,7.57,41.0,11.53,7.0,3.8,0.1,18.8,1
2026-07-07,12.37,44.2,7.73,5.8,3.8,0.0,22.1,1
2026-07-09,12.46,58.3,11.34,4.9,3.7,0.0,33.3,1
2026-07-10,6.04,66.6,11.26,5.1,4.0,0.0,48.2,1
2026-07-11,7.17,68.0,12.43,5.1,4.4,0.0,47.7,1
2026-07-12,10.14,68.8,17.06,4.1,4.2,0.0,41.7,1
2026-07-13,7.68,69.6,14.42,4.8,3.9,0.0,46.6,1
2026-07-14,6.95,32.9,9.65,4.7,4.4,0.0,16.0,1
2026-07-15,6.48,31.9,8.12,3.9,3.2,0.0,16.6,1
2026-07-17,5.77,50.6,19.03,5.5,6.9,0.0,27.2,1
2026-07-18,9.66,53.7,13.14,4.9,4.7,0.0,30.7,1
2026-07-01,,9.6,13.2,5.0,7.5,0.0,0.0,1
2026-07-08,2.67,16.2,11.33,7.3,4.9,0.0,0.0,1
2026-07-19,6.3,27.9,17.8,8.2,7.4,0.0,3.0,1
2026-07-21,10.17,51.6,10.43,2.3,3.1,0.0,31.8,1
2026-07-22,7.8,54.9,12.2,3.2,3.6,0.0,35.3,1
2026-07-23,5.38,43.9,14.12,3.6,5.0,0.0,25.8,1
2026-07-24,11.09,67.3,14.91,5.5,3.6,0.0,39.4,1
2026-07-25,11.33,67.3,12.67,3.1,2.9,0.0,43.1,1
2026-07-26,3.69,17.2,12.01,4.6,5.1,0.0,2.0,1
2026-07-27,8.07,27.9,11.03,3.8,4.4,0.0,9.4,1
2026-07-28,12.4,67.4,13.7,4.0,3.4,0.0,40.7,1
2026-07-29,9.11,66.1,12.49,3.8,4.1,0.0,44.8,1
2026-07-30,8.37,62.9,11.43,4.1,4.1,0.0,43.1,1
2026-07-31,7.41,59.7,10.99,4.2,4.6,0.0,41.7,1
2026-08-01,7.38,44.4,12.02,4.7,4.8,0.0,25.1,1
2026-08-02,7.2,60.6,20.0,4.9,6.1,0.0,34.6,1
2026-08-03,0.0,55.5,7.0,2.2,0.6,0.0,46.9,1
2026-08-04,0.0,57.8,5.3,2.0,1.1,0.0,51.6,1
2026-08-05,0.0,59.2,5.4,1.5,1.1,0.0,53.4,1
2026-08-06,0.0,25.3,5.3,1.4,1.0,0.0,19.6,1
2026-08-08,10.17,57.2,9.63,1.3,3.6,0.0,39.7,1
2026-08-09,4.42,61.9,17.58,4.4,5.4,0.0,40.9,1
2026-08-11,4.89,57.4,16.01,5.3,4.1,0.25,34.94,1
2026-08-12,6.32,62.0,14.38,3.6,5.4,0.28,42.61,1
2026-08-13,5.95,63.0,11.95,5.5,5.4,0.29,44.29,1
2026-08-14,5.75,63.9,14.25,5.5,5.6,0.26,43.4,1
2026-08-15,8.32,62.8,15.68,5.2,4.6,0.2,37.41,1
2026-08-16,8.53,46.8,12.77,6.0,5.5,6.06,29.88,1
2026-08-17,5.74,21.7,12.86,5.0,7.1,0.61,4.26,1
2026-08-18,0.04,13.0,13.76,7.1,5.4,2.02,0.31,1
2026-08-19,6.78,55.8,15.92,5.9,5.3,1.11,30.74,1
2026-08-20,5.79,29.6,14.31,5.6,7.0,0.33,8.98,1
2026-08-21,6.36,23.2,11.54,6.8,5.2,1.14,2.95,1
2026-08-22,6.29,44.3,13.21,4.6,6.8,0.24,25.56,1
2026-08-23,8.51,58.4,13.99,6.6,4.9,0.25,33.4,1
2026-08-25,0.05,14.2,15.15,6.6,6.0,1.53,0.4,1
2026-08-27,0.0,53.5,5.2,4.4,1.4,0.28,45.39,1
2026-07-16,5.22,61.1,7.28,2.8,2.1,0.27,48.2,1
2026-07-20,9.77,56.7,11.43,3.2,2.7,0.28,34.19,1
2026-08-07,0.09,42.9,5.31,1.2,1.0,1.04,38.38,1
2026-08-10,6.56,54.6,15.64,4.8,3.8,2.39,33.41,1
2026-08-24,11.77,61.2,10.73,4.3,5.1,0.2,37.92,1
2026-08-26,10.2,44.9,16.5,6.0,5.8,0.45,16.49,1
2026-08-28,0.0,33.6,4.6,1.5,0.9,0.2,29.0,1
2026-08-29,0.0,52.8,4.6,1.5,0.8,0.19,48.24,1
2026-08-30,0.0,48.9,4.5,1.5,0.8,0.28,44.37,1
2026-08-31,0.0,45.9,4.6,1.4,1.0,0.21,40.5,1
2026-09-01,0.0,50.0,4.6,1.5,0.9,0.16,45.38,1
2026-09-02,0.0,46.5,4.5,1.5,0.8,0.13,41.95,1
2026-09-03,0.0,44.3,4.7,1.5,1.0,0.25,39.58,1
2026-09-04,0.0,52.9,4.5,1.5,0.8,0.17,48.36,1
2026-09-05,0.0,24.2,4.7,1.7,0.9,0.32,19.34,1
2026-09-06,0.0,54.6,4.6,1.4,0.8,0.17,50.0,1
