date,cost_eur
2016-05-13,50.01
2016-05-21,16.06
2016-05-23,40.0
2016-05-27,50.3926
2016-06-04,47.17
2016-06-22,53.52
2016-07-07,50.3
2016-07-17,48.71
2016-08-06,40.40118
2016-08-17,21.66
2016-08-20,47.13
2016-08-24,20.0
2016-08-25,24.16
2016-08-29,26.1
2016-08-31,41.54
2016-09-19,42.43
2016-10-01,42.95
2016-10-03,24.22
2016-10-08,48.46
2016-10-23,45.89
2016-11-05,41.57
2016-11-20,38.8
2016-12-04,43.09
2016-12-17,50.44
2016-12-25,22.68
2016-12-29,79.39
2017-01-13,40.94
2017-01-27,52.83
2017-02-03,22.26
2017-02-18,49.98
2017-03-05,54.32
2017-03-19,44.17
2017-03-31,53.3
2017-04-14,40.9
2017-04-18,53.43
2017-04-21,50.55
2017-05-04,53.96
2017-05-20,49.93
2017-06-04,47.26
2017-06-13,50.83
2017-06-17,33.56
2017-07-01,44.56
2017-07-19,53.03
2017-08-02,43.59
2017-08-04,15.06
2017-08-05,15.01
2017-08-06,44.11
2017-08-25,52.96
2017-08-29,12.86
2017-09-01,58.05
2017-09-03,22.11
2017-09-07,28.54
2017-09-16,52.52
2017-10-08,47.24
2017-10-22,53.63
2017-10-30,30.16
2017-11-02,47.92
2017-11-05,37.2
2017-11-19,53.99
2017-12-07,54.59
2017-12-17,36.84
2017-12-25,26.38
2017-12-29,50.86
2018-01-07,53.0
2018-02-04,49.41
2018-02-25,47.51
2018-03-26,50.72
2018-04-03,28.76
2018-04-06,35.99
2018-04-20,50.44
2018-05-20,53.61
2018-05-29,56.06
2018-06-08,50.93
2018-06-20,61.96
2018-07-16,47.08
2018-07-27,50.0
2018-08-03,49.08
2018-08-04,55.38
2018-08-28,36.6
2018-09-01,53.91
2018-09-07,56.3
2018-09-08,20.39
2018-09-29,63.84817
2018-11-01,49.4
2018-11-04,57.29
2018-12-02,59.43
2018-12-24,31.67644
2018-12-26,16.6
2018-12-29,48.5688
2019-01-26,51.81
2019-02-15,36.59348
2019-03-06,31.15
2019-03-07,15.97
2019-03-10,10.36
2019-03-13,61.56
2019-04-13,45.25
2019-04-18,21.17
2019-04-23,53.78
2019-04-26,64.5
2019-05-22,60.23
2019-06-15,25.68
2019-06-19,51.6
2019-06-20,30.66
2019-07-02,47.84
2019-07-13,31.15
2019-07-26,26.07
2019-07-28,65.98
2019-08-03,29.83
2019-08-08,48.28
2019-08-25,34.69
2019-08-29,37.11
2019-09-03,41.06
2019-09-05,15.0
2019-09-15,57.25
2019-10-03,24.21
2019-10-31,56.17
2019-11-03,20.02
2019-11-09,57.55
2019-12-19,56.89
2019-12-25,25.22
2019-12-29,53.82
2020-02-08,58.01
2020-05-21,43.02
2020-06-15,32.07
2020-06-24,50.4
2020-07-24,21.34
2020-07-25,13.94703
2020-07-29,25.78
2020-08-02,47.14
2020-08-18,21.83445
2020-08-23,35.6
2020-08-27,21.4869
2020-09-05,63.47
2020-10-24,41.24
2020-12-31,53.71
2021-03-12,0.0
2021-04-17,80.22
2021-05-18,70.67
2021-06-18,80.56421
2021-07-31,71.9
2021-08-05,28.8
2021-08-08,47.34
2021-08-27,73.19
2021-09-04,55.0
2021-09-11,74.29
2021-10-10,77.45
2021-10-30,64.68
2021-11-01,86.24
2021-12-06,66.98
2022-01-09,79.57
2022-02-13,81.0
2022-02-26,39.47
2022-02-28,70.04
2022-04-15,93.44
2022-04-17,41.35
2022-05-08,78.0
2022-05-26,79.01
2022-06-13,103.0
2022-06-17,32.0
2022-06-25,116.35
2022-08-02,125.35
2022-08-12,80.64
2022-08-16,78.73
2022-08-26,109.91
2022-09-05,78.0
2022-10-15,120.52
2022-10-31,112.45058
2022-12-07,94.89
2022-12-24,44.36
2022-12-28,65.71
2023-01-22,98.16
2023-02-18,57.78
2023-02-21,76.75
2023-03-25,68.83
2023-03-31,35.91
2023-04-04,80.57
2023-04-11,69.35985
2023-05-14,103.87
2023-06-02,47.22
2023-06-09,83.72
2023-06-24,93.8
2023-08-06,74.27
2023-08-11,87.4
2023-08-19,90.31341
2023-08-24,27.36643
2023-09-03,105.7
2023-09-24,69.13
2023-10-29,48.93
2023-11-01,36.52
2023-11-04,76.19
2023-12-24,87.32
2023-12-25,32.43581
2023-12-30,95.8
2024-02-16,106.77
2024-03-17,85.75
2024-03-24,34.27
2024-03-25,112.34
2024-03-31,36.11
2024-04-05,55.1
2024-04-06,95.18
2024-05-18,79.21
2024-07-07,89.61
2024-07-27,51.09
2024-07-30,32.15
2024-08-03,116.6
2024-08-09,108.4
2024-08-23,97.0
2024-08-27,26.87
2024-08-30,76.24
2024-10-05,85.59
2024-10-29,75.15
2024-11-01,115.3
2024-12-07,70.71
2024-12-25,54.52
2024-12-28,96.57
2025-02-08,102.92
2025-03-15,100.15
2025-04-20,90.0
2025-04-23,75.95
2025-06-09,101.8
2025-06-13,90.3302
2025-06-21,42.2
2025-07-26,100.34
2025-08-08,52.92
2025-08-30,102.98
2025-09-07,50.0
2025-09-08,93.93
2025-09-27,98.31
2025-11-01,96.66
2025-11-02,29.3403
2025-11-04,80.68554
2025-12-27,88.86
2025-12-29,31.24
2025-12-31,72.93
2026-01-24,86.88
2026-02-28,113.0
2026-05-02,109.04
2026-06-23,82.03
2026-08-02,53.94
2026-08-07,131.11
2026-08-12,128.24
2026-08-27,78.5
2026-08-30,59.75
2026-09-02,65.51
2026-09-16,130.83
