date,elec,gas,water
2013-02-19,,,0
2014-04-30,0,,
2015-09-25,11992,,334
2015-12-31,13402,,400
2016-03-04,14308.6,,
2016-07-21,16277.6,,
2016-08-17,16552,,
2016-08-22,16597,14342,471
2016-09-03,16624.8,14346.4,472.284
2016-09-16,16744.4,14363.1,475.994
2016-09-25,16834.2,14382.6,478.592
2016-10-03,16914,14400,480.901
2016-10-12,17024.2,14440,485.321
2016-10-19,17096.2,14468.4,487.813
2016-11-02,17276.7,14535.1,492.819
2016-11-18,17446.7,14658.5,498.109
2016-11-25,17523.5,14695.4,500.276
2016-12-03,17620.5,14755,503.284
2016-12-19,17818.5,14903.3,509.378
2016-12-31,17942.7,14997.7,512.345
2017-01-13,18107.3,15131.2,516.838
2017-01-20,18216.2,15202.9,518.146
2017-01-25,18273.6,15267.3,520.568
2017-01-31,18356,15325,522.399
2017-02-07,18456.5,15378.9,524.606
2017-02-14,18556.5,15439.8,526.975
2017-02-17,18596,15461,528.129
2017-02-24,18688.5,15502.5,530.11
2017-03-04,18780.2,15550.8,532.038
2017-03-17,18964.2,15630,536.559
2017-04-01,19179,15686.1,541.496
2017-04-12,19335,15716.3,545.568
2017-04-25,19458.6,15792.3,548.221
2017-05-11,19694.2,15867.2,554.005
2017-05-20,19817,15884,557.186
2017-05-28,19930.6,15896,559.989
2017-06-03,20003.6,15903.6,562.245
2017-06-24,20250.7,15927.3,569.501
2017-07-21,20596.6,15957.6,578.944
2017-07-22,20609.4,15958.7,579.294
2017-07-24,20635,15960.9,579.994
2017-07-26,20660.6,15963.2,580.693
2017-08-20,20982,15994,589
2017-09-11,21200.9,16017.7,595.51
2017-10-03,21476.4,16078.6,603.678
2017-10-10,21568.8,16104.6,606.402
2017-10-21,21745.1,16131.1,610.37
2017-11-10,22009.5,16231.4,616.782
2017-11-19,22147,16303,620.296
2017-12-01,22307.4,16401.4,624.092
2017-12-18,22570,16559.2,631.521
2017-12-19,22583.9,16567.5,631.871
2017-12-22,22625.4,16592.7,632.92
2018-01-04,22778.2,16694.1,636.533
2018-01-05,22794.6,16699.9,636.908
2018-01-06,22811,16705.7,637.284
2018-01-07,22823.5,16713,637.624
2018-01-08,22836,16720.3,637.965
2018-01-10,22865.6,16735.7,638.781
2018-01-13,22902.4,16762.3,639.806
2018-01-14,22914.6,16771.1,640.148
2018-01-15,22926.9,16780,640.49
2018-01-22,23025.5,16841.1,643.019
2018-01-27,23091.7,16879.8,644.624
2018-01-30,23129.3,16897.3,645.48
2018-01-31,23148.9,16904,646.025
2018-02-01,23160.6,16910.9,646.311
2018-02-02,23174,16919.2,646.588
2018-02-03,23187.3,16927.5,646.864
2018-02-04,23199.8,16935.5,647.204
2018-02-05,23211.4,16945.5,647.501
2018-02-06,23222.7,16954.8,647.936
2018-02-07,23241.6,16964.9,648.432
2018-02-08,23253.4,16975.8,648.769
2018-02-09,23263.9,16984.8,649.085
2018-02-10,23284.5,16994.3,649.499
2018-02-16,23324.8,17052.4,649.953
2018-02-18,23364.2,17068.8,650.701
2018-02-19,23377.1,17079.4,650.988
2018-02-20,23385,17090.4,651.2
2018-02-21,23400.4,17100.4,651.703
2018-02-22,23412.2,17110.3,652.093
2018-02-23,23428.5,17121.5,652.336
2018-02-25,23459.8,17140.2,652.936
2018-02-26,23468,17154.2,653.234
2018-02-27,23481,17167.7,653.528
2018-02-28,23495.1,17181.6,653.966
2018-03-01,23506.8,17195.8,654.246
2018-03-02,23519,17207.7,654.562
2018-03-03,23537.5,17216.8,654.853
2018-03-04,23555,17223.3,655.205
2018-03-05,23564.3,17230.3,655.505
2018-03-06,23576.9,17239.8,655.746
2018-03-07,23594.8,17247.8,656.263
2018-03-08,23605.5,17255,656.54
2018-03-09,23622.3,17260.7,656.812
2018-03-10,23633,17265.7,657.201
2018-03-11,23654.6,17270.4,657.571
2018-03-12,23667.5,17275,657.913
2018-03-13,23679.2,17280.4,658.273
2018-03-14,23699.2,17285.9,658.76
2018-03-15,23708.2,17292.6,659.089
2018-03-16,23723.8,17298.3,659.43
2018-03-17,23741,17304.7,659.677
2018-03-18,23761,17312.8,660.281
2018-03-19,23776.2,17323.7,660.481
2018-03-20,23784.9,17334.3,660.966
2018-03-21,23804.6,17342.8,661.442
2018-03-22,23813.2,17351.7,661.688
2018-03-23,23824.5,17360.2,662.056
2018-03-24,23841.7,17366.3,662.416
2018-03-25,23862.5,17370.8,662.844
2018-03-26,23875.1,17376.3,663.186
2018-03-27,23888.7,17382.8,663.431
2018-03-28,23900.2,17390,663.875
2018-03-29,23910.6,17395.9,664.158
