date,tmax,tmit,tmin,rain,sunshine
2015-09-01,31.8,21.3,15.2,14.52,7.9
2015-09-02,16.0,14.5,12.3,6.42,0.0
2015-09-03,18.8,14.5,12.2,5.83,0.4
2015-09-04,20.9,15.1,11.0,0.31,5.6
2015-09-05,17.6,13.6,10.9,0.18,2.2
2015-09-06,15.2,11.2,6.9,4.5,5.0
2015-09-07,14.5,11.2,7.3,0,0.2
2015-09-08,18.8,13.2,8.9,0,8.3
2015-09-09,18.9,12.7,6.7,0,8.2
2015-09-10,17.6,10.2,5.3,0,4.6
2015-09-11,21.9,12.6,3.3,0,8.5
2015-09-12,25.5,16.1,7.1,0,9.1
2015-09-13,25.7,17.6,10.7,0,7.7
2015-09-14,18.4,14.3,11.9,4.15,1.6
2015-09-15,21.4,14.9,10.2,0.59,4.9
2015-09-16,29.1,19.3,9.9,0,6.4
2015-09-17,30.4,16.9,11.2,0.43,6.4
2015-09-18,18.6,14.5,11.2,1.73,1.8
2015-09-19,20.3,13.6,6.3,0.87,5.6
2015-09-20,16.7,11.9,8.4,1.7,1.9
2015-09-21,19.3,12.1,5.6,0,10.7
2015-09-22,18.9,12.5,5.3,2.92,4.1
2015-09-23,13.3,10.8,8.9,8.25,0.1
2015-09-24,14.5,10.7,6.1,0,1.3
2015-09-25,18.9,11.6,5.5,0,1.3
2015-09-26,16.3,12.9,10.7,0,0.0
2015-09-27,16.4,12.1,8.6,0,1.8
2015-09-28,14.7,11.1,6.3,0,1.1
2015-09-29,16.0,10.0,4.7,0,8.3
2015-09-30,15.6,9.8,5.2,0,10.1
2015-10-01,17.6,9.9,3.2,0,10.5
2015-10-02,19.2,10.5,3.0,0,10.2
2015-10-03,22.2,12.6,6.4,0,5.1
2015-10-04,14.9,9.5,4.1,0.1,1.3
2015-10-05,20.2,15.2,2.7,0.39,9.2
2015-10-06,23.0,15.6,10.7,7.67,6.2
2015-10-07,14.3,13.2,12.1,13.39,0.0
2015-10-08,17.2,12.0,8.7,0.03,1.7
2015-10-09,18.2,10.8,5.8,0,6.2
2015-10-10,12.7,9.6,4.5,0.03,0.0
2015-10-11,10.9,8.0,3.6,0,1.1
2015-10-12,12.2,5.1,-0.1,0,8.9
2015-10-13,8.2,5.7,3.6,15.08,0.0
2015-10-14,8.2,6.0,4.1,16.68,0.1
2015-10-15,5.1,4.7,4.2,9.22,0.0
2015-10-16,6.1,4.8,3.3,2.76,0.1
2015-10-17,9.2,5.8,3.4,0.92,0.8
2015-10-18,7.9,5.9,3.9,8.41,0.0
2015-10-19,9.5,5.3,1.4,0,0.3
2015-10-20,9.8,4.7,-1.0,0,2.5
2015-10-21,10.3,6.8,3.1,0,2.7
2015-10-22,12.2,8.6,5.9,0,2.3
2015-10-23,12.5,8.4,3.0,0.56,0.0
2015-10-24,15.1,5.0,2.5,0.12,4.0
2015-10-25,14.4,8.8,3.6,0,0.6
2015-10-26,13.0,8.1,4.3,0.02,2.2
2015-10-27,8.6,7.2,3.0,0.1,0.0
2015-10-28,10.2,6.8,3.0,0,1.0
2015-10-29,10.5,7.9,4.7,0.05,0.0
2015-10-30,9.2,8.2,7.3,0,0.0
2015-10-31,14.4,7.7,1.2,0,3.8
2015-11-01,15.3,4.1,-1.2,0,5.0
2015-11-02,13.7,2.4,-2.8,0,5.9
2015-11-03,12.8,2.9,-1.9,0,4.6
2015-11-04,16.5,8.5,0.9,0,0.2
2015-11-05,17.6,8.3,2.6,0,5.3
2015-11-06,19.5,10.9,2.1,0,5.5
2015-11-07,19.5,13.0,8.5,0.03,1.4
2015-11-08,19.1,12.8,6.1,0,4.4
2015-11-09,19.1,13.0,4.4,0.13,1.9
2015-11-10,19.0,14.4,11.3,0,6.6
2015-11-11,17.0,10.5,3.8,0,6.5
2015-11-12,15.3,7.2,1.0,0,7.0
2015-11-13,14.6,7.0,-1.0,0,4.1
2015-11-14,11.5,8.5,6.8,1.17,4.3
2015-11-15,17.9,13.4,7.6,0.28,1.8
2015-11-16,20.2,13.8,3.9,0,6.9
2015-11-17,15.6,10.9,3.2,0.12,0.0
